Frame,Humans,Vehicles,Traffic Status
1,24,17,Traffic Detected
2,27,13,Traffic Detected
3,22,9,Traffic Detected
4,20,10,Traffic Detected
5,22,9,Traffic Detected
6,22,9,Traffic Detected
7,17,12,Traffic Detected
8,26,12,Traffic Detected
9,25,14,Traffic Detected
10,22,16,Traffic Detected
11,22,19,Traffic Detected
12,24,20,Traffic Detected
13,25,16,Traffic Detected
14,25,15,Traffic Detected
15,21,13,Traffic Detected
16,22,13,Traffic Detected
17,24,13,Traffic Detected
18,21,10,Traffic Detected
19,22,10,Traffic Detected
20,19,9,Traffic Detected
21,29,9,Traffic Detected
22,21,10,Traffic Detected
23,21,11,Traffic Detected
24,16,12,Traffic Detected
25,22,16,Traffic Detected
26,17,19,Traffic Detected
27,17,21,Traffic Detected
28,21,21,Traffic Detected
29,22,22,Traffic Detected
30,23,24,Traffic Detected
31,33,18,Traffic Detected
32,27,18,Traffic Detected
33,27,16,Traffic Detected
34,22,16,Traffic Detected
35,25,15,Traffic Detected
36,22,13,Traffic Detected
37,19,12,Traffic Detected
38,23,15,Traffic Detected
39,25,16,Traffic Detected
40,23,15,Traffic Detected
41,27,15,Traffic Detected
42,21,13,Traffic Detected
43,22,13,Traffic Detected
44,21,15,Traffic Detected
45,15,16,Traffic Detected
46,15,13,Traffic Detected
47,19,18,Traffic Detected
48,23,17,Traffic Detected
49,23,14,Traffic Detected
50,20,13,Traffic Detected
51,21,13,Traffic Detected
52,28,13,Traffic Detected
53,24,13,Traffic Detected
54,25,16,Traffic Detected
55,33,17,Traffic Detected
56,29,17,Traffic Detected
57,29,16,Traffic Detected
58,26,15,Traffic Detected
59,28,15,Traffic Detected
60,25,15,Traffic Detected
61,23,15,Traffic Detected
62,22,15,Traffic Detected
63,24,16,Traffic Detected
64,20,15,Traffic Detected
65,21,15,Traffic Detected
66,19,16,Traffic Detected
67,19,18,Traffic Detected
68,22,19,Traffic Detected
69,19,18,Traffic Detected
70,16,16,Traffic Detected
71,25,16,Traffic Detected
72,26,23,Traffic Detected
73,23,24,Traffic Detected
74,21,27,Traffic Detected
75,21,27,Traffic Detected
76,23,26,Traffic Detected
77,26,20,Traffic Detected
78,25,17,Traffic Detected
79,21,20,Traffic Detected
80,25,26,Traffic Detected
